year,day,address,length,weight,count,looped,neighbors,income
2011,246,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,2,1.5,2,0,1,7e+07
2011,254,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,60,4.89385504471628e-07,39,0,2,3.07e+08
2011,262,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,28,0.015625,1,0,2,3.6e+08
2011,264,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,34,6.103515625e-05,1,0,2,8e+07
2011,266,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,6,0.25,1,0,2,1.01e+08
2011,268,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,54,8.20159912109375e-06,43,0,2,1.19e+08
2011,272,1J3Q2hASKw6UnsW2DqqH8v89Q6MvoxTBmX,0,1,1,0,2,1e+08
2011,272,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,38,0.001953125,1,0,2,2.31e+08
2011,274,1J3Q2hASKw6UnsW2DqqH8v89Q6MvoxTBmX,78,6.22537400987413e-08,47,0,2,5.4e+07
2011,274,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,62,4.98029920789931e-07,47,0,2,1.3e+08
2011,277,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,12,0.0641891891891891,38,0,2,1.35e+08
2011,279,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,6,0.125,1,0,2,1.22e+08
2011,281,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,62,1.95503234863281e-06,41,0,2,1.2e+08
2011,283,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,114,1.4915713109076e-11,41,0,2,1.17e+08
2011,283,14EZSJRGdxaioeDETxskw4FN69NeDjqQNT,0,1,1,0,2,5.3e+08
2011,286,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,26,0.0009765625,1,0,2,1.38e+08
2011,287,1J3Q2hASKw6UnsW2DqqH8v89Q6MvoxTBmX,0,1,1,0,2,1.7e+08
2011,288,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,4,0.25,36,0,2,1.11e+08
2011,288,12wQZTDmA8onM3sEt4jwcvzDxnNXxD8Vza,2,0.5,1,0,1,1.133e+09
2011,289,14EZSJRGdxaioeDETxskw4FN69NeDjqQNT,6,1.0625,2,0,2,1438404902
2011,291,14EZSJRGdxaioeDETxskw4FN69NeDjqQNT,4,0.125,1,0,2,52036465
2011,292,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,8,0.5,1,0,2,1.58e+08
2011,294,199aKfZUiNXFuk3TADJB2JpWVNXKReL3yw,22,0.015625,1,0,2,1.51e+08
2011,294,1EH7JWaGEnqjeVK1KjWPdDBzmH8TS2F2Hr,16,0.0625,1,0,2,68033655
2011,301,1EH7JWaGEnqjeVK1KjWPdDBzmH8TS2F2Hr,0,0.5,1,0,2,44514562
2011,314,1EH7JWaGEnqjeVK1KjWPdDBzmH8TS2F2Hr,4,0.25,1,0,2,46193820
2011,319,1EH7JWaGEnqjeVK1KjWPdDBzmH8TS2F2Hr,12,0.03125,1,0,2,52199574
